path,label,subject,mode,take,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_std_13,mfcc_delta_mean_1,mfcc_delta_mean_2,mfcc_delta_mean_3,mfcc_delta_mean_4,mfcc_delta_mean_5,mfcc_delta_mean_6,mfcc_delta_mean_7,mfcc_delta_mean_8,mfcc_delta_mean_9,mfcc_delta_mean_10,mfcc_delta_mean_11,mfcc_delta_mean_12,mfcc_delta_mean_13,mfcc_delta_std_1,mfcc_delta_std_2,mfcc_delta_std_3,mfcc_delta_std_4,mfcc_delta_std_5,mfcc_delta_std_6,mfcc_delta_std_7,mfcc_delta_std_8,mfcc_delta_std_9,mfcc_delta_std_10,mfcc_delta_std_11,mfcc_delta_std_12,mfcc_delta_std_13,f0n_mean,f0n_std,f0n_max,f0n_min,f0n_median,interval_mean,interval_std,interval_max,interval_min,interval_median,interval_iqr,interval_abs_mean,interval_abs_std,interval_pos_ratio,interval_neg_ratio,contour_up_ratio,contour_down_ratio,contour_flat_ratio,voiced_ratio,voiced_prob_mean,ioi_mean,ioi_std,ioi_max,ioi_min,tempo,onsets_per_sec
/Users/panmingh/Code/ML_Coursework/Data/MLEndHWII_sample_800/S100_whistle_1_Necessities.wav,Necessities,S100,whistle,1,-380.03277588,93.87326050,-0.35073015,6.07609749,35.61389923,33.57865143,6.05510330,1.98199356,7.71321964,23.33989906,5.96828461,0.60423267,8.02012253,20.03451920,11.20606327,14.57599258,14.70865345,16.10031891,11.97023296,15.44012165,11.95378971,17.00177574,15.30500507,12.61918736,12.34868431,11.78672886,-0.01744587,-0.02036783,0.00454255,-0.00836754,-0.00148874,-0.00747227,0.01070333,0.01106383,-0.01416291,0.00661831,-0.00674842,-0.00062876,0.00754368,3.19620013,1.80449939,2.29381084,1.42460144,1.34202230,1.54195774,1.37624502,1.55461824,1.44921434,1.54479611,1.61012495,1.25012088,1.40669703,0.00000000,1.00000000,1.21763074,-1.99384546,0.27701113,-0.00941307,0.34094843,2.50000000,-1.89999998,0.00000000,0.20000000,0.17951274,0.29001659,0.28571430,0.29789591,0.28571430,0.29789591,0.41638982,0.86836284,0.47843555,0.51083899,0.37348628,1.46285713,0.06965987,198.76803589,1.90738165
/Users/panmingh/Code/ML_Coursework/Data/MLEndHWII_sample_800/S100_whistle_1_TryEverything.wav,TryEverything,S100,whistle,1,-404.73641968,84.19341278,-2.61654210,-4.05654621,35.44799423,41.80420685,14.21930695,-3.28873253,-0.73711467,19.36400414,19.23315811,9.39681625,-0.77183604,35.19873810,15.61557579,20.09140587,14.90428066,13.94457626,11.92180252,17.74458504,16.44790459,15.69052315,18.30805588,15.27019501,15.42310047,15.44891930,0.01812362,-0.08882036,0.02418206,-0.00817621,-0.01674740,-0.02162057,0.01795498,0.04098847,-0.01245086,0.02950549,-0.00346238,0.00106666,0.02683504,5.21527147,1.91491878,2.85033107,1.69230151,1.41249645,1.45705700,1.41982770,1.53269768,1.47683978,1.54459512,1.64395177,1.31783175,1.35408914,0.00000000,1.00000000,1.65501773,-3.11496854,0.25792113,0.01259740,0.28908229,2.29999995,-2.79999995,0.00000000,0.20000000,0.14454545,0.25066689,0.29480520,0.31298700,0.29480520,0.31298700,0.39220780,0.92607003,0.67517132,1.87307632,1.97759259,6.82666683,0.25541949,198.76803589,0.55883056
/Users/panmingh/Code/ML_Coursework/Data/MLEndHWII_sample_800/S100_whistle_2_Feeling.wav,Feeling,S100,whistle,2,-375.50207520,91.35965729,-5.75796413,-1.72648466,26.22119713,31.18261909,11.04027176,2.03371882,0.15128888,15.62558651,8.98110008,4.46792555,5.73595572,23.09488106,14.89101410,15.71072292,15.73605251,15.31858158,13.17712498,17.72932243,13.33877563,16.33099365,14.92263317,14.39255238,13.63449478,10.36983871,0.09046307,-0.06165530,-0.01240630,-0.03118972,0.00628133,-0.00257679,0.00308505,0.00655724,-0.00187422,0.02182579,-0.03367248,-0.00867670,-0.00440058,4.00189018,1.89580882,2.86160684,1.74382031,1.47735846,1.50161457,1.65517795,1.68306148,1.46899772,1.41469657,1.55311692,1.32698202,1.32696235,0.00000000,1.00000000,1.44475293,-2.06504512,0.19766960,-0.00829208,0.33910635,3.29999995,-1.70000005,0.00000000,0.20000000,0.15581684,0.30130216,0.26980197,0.26608911,0.26980197,0.26608911,0.46410891,0.83807170,0.58840305,0.49891526,0.34759244,1.30031741,0.09287982,71.77734375,2.02501845
/Users/panmingh/Code/ML_Coursework/Data/MLEndHWII_sample_800/S100_whistle_2_Friend.wav,Friend,S100,whistle,2,-381.92950439,87.42151642,-7.20765686,7.76532650,36.41592789,26.28241539,1.90599835,0.83983582,7.58225012,19.74227524,11.20158768,1.11388350,2.19861102,35.81343079,16.29597282,22.13789177,17.49003220,14.96831322,16.30374908,15.98792553,15.23406124,16.09349823,13.05593491,14.16247654,12.01973534,12.93931389,0.02636195,-0.03736416,0.00868302,-0.01129065,-0.00005538,-0.00909291,0.00146479,0.00932737,-0.01166917,0.01828641,-0.01117356,-0.00385643,-0.00426421,5.29237795,2.36277556,3.10695338,1.66991949,1.34524846,1.51472771,1.44142342,1.74216235,1.39126098,1.64768004,1.42634690,1.53063893,1.44326687,-0.00000000,1.00000000,1.19799685,-1.54468894,0.45151070,-0.00414041,0.41783050,2.90000010,-2.59999990,0.00000000,0.10000000,0.17407741,0.37986380,0.26912692,0.22052205,0.26912692,0.22052205,0.51035106,0.82014388,0.47752294,0.61957633,0.58316451,2.62385488,0.00000000,107.66601562,1.62766659
/Users/panmingh/Code/ML_Coursework/Data/MLEndHWII_sample_800/S100_whistle_2_Happy.wav,Happy,S100,whistle,2,-352.21392822,132.09544373,8.77543545,-3.96788025,30.55798912,31.83184814,8.63021374,-5.80226326,0.89666283,18.99501419,11.62277126,0.08077820,-5.16910839,18.83188820,11.08939934,15.43756008,9.47568226,10.56803703,10.28028011,10.64552689,11.23998547,10.44401836,12.65422630,10.81294155,11.95416260,10.88634968,-0.06897189,0.03225752,-0.01354273,-0.01456633,0.00381748,0.01822136,-0.00635611,-0.00427710,-0.00733709,0.00193940,0.01322813,0.00095600,-0.00193570,3.41165352,1.80632973,2.50378156,1.22600365,1.40016723,1.31139326,1.14499450,1.27448916,1.32961380,1.43467486,1.28586626,1.48368108,1.17297065,-0.00000000,1.00000000,1.29498589,-2.05931878,0.43909726,0.01357895,0.32140291,2.59999990,-2.00000000,0.00000000,0.10000000,0.14789474,0.28567702,0.23578948,0.27894738,0.23578948,0.27894738,0.48526317,0.82018930,0.49522921,0.35705438,0.22786391,1.23065758,0.00000000,143.55468750,2.81056881
/Users/panmingh/Code/ML_Coursework/Data/MLEndHWII_sample_800/S100_whistle_2_Married.wav,Married,S100,whistle,2,-360.64297485,97.40245056,0.09120877,-4.33799744,26.18502426,38.02523804,19.25439072,6.79881382,0.46910819,17.14951515,13.17048073,2.15073967,4.91033268,23.13570976,11.33832836,20.14698029,16.47744942,15.85997963,16.14868927,15.16543674,16.60443687,13.17088318,16.27892494,13.11611652,13.12410641,11.56041241,0.01142095,-0.03783720,0.00890393,0.00501129,0.01447043,0.00802216,0.00357250,0.00972621,0.00111001,0.02241912,-0.01025302,0.00127486,0.00014786,3.31345534,1.59100854,2.53725219,1.69314206,1.57636523,1.54897952,1.77751815,1.88405025,1.57812321,1.96412182,1.64401019,1.67816627,1.52355695,0.00000000,1.00000000,1.46515346,-1.87280750,0.25440931,0.00444444,0.36948377,3.59999990,-1.79999995,0.00000000,0.10000000,0.16257310,0.33182526,0.26900584,0.24795322,0.26900584,0.24795322,0.48304093,0.80724299,0.50858021,0.43653515,0.35376388,1.69505668,0.00000000,54.97838974,2.31525660
/Users/panmingh/Code/ML_Coursework/Data/MLEndHWII_sample_800/S100_whistle_2_NewYork.wav,NewYork,S100,whistle,2,-401.84036255,105.50964355,15.70163918,11.08087826,44.84127045,47.02930832,23.31146431,7.43655586,8.36963844,21.35009956,20.06225586,6.53773880,-3.39273715,35.14072800,14.35437775,25.02220726,15.09551620,17.05653191,14.95008469,16.16896629,15.58193398,15.16427994,15.78304005,15.62191772,13.46614647,13.00957966,0.00327333,-0.10112286,0.01123947,-0.00709676,-0.01322120,-0.02354502,0.01403103,0.01998246,-0.02049246,0.01706528,-0.02057737,-0.01383832,-0.00865689,4.86227894,1.85526168,3.26928115,1.73995399,1.58383381,1.40625882,1.26557791,1.37891197,1.36486864,1.40764749,1.59956872,1.22762406,1.29758787,-0.00000000,1.00000000,1.49233305,-1.20893574,0.51252967,0.00307692,0.27552426,2.29999995,-2.40000010,0.00000000,0.00000000,0.10846154,0.25329661,0.22564103,0.17307693,0.22564103,0.17307693,0.60128206,0.81690139,0.43489018,0.72368860,0.62495285,2.36843538,0.09287982,57.42187500,1.38028514
/Users/panmingh/Code/ML_Coursework/Data/MLEndHWII_sample_800/S101_whistle_1_Married.wav,Married,S101,whistle,1,-425.94158936,119.81414795,-12.20176601,8.65361595,17.98029518,18.80291748,32.29070663,13.71010971,-9.64431190,-3.31734252,3.15332103,3.27787256,2.31151462,28.10136414,13.13062954,19.55145645,15.57201672,14.62541389,15.91396809,20.03264999,22.46048737,19.40187454,17.55867958,17.87494278,21.53738403,21.06023979,0.14351770,0.03984780,-0.02948977,0.02742972,-0.03140436,-0.02350355,0.00611685,-0.00838012,-0.01086174,-0.01782067,-0.00658113,-0.00668035,-0.01306262,4.14307499,1.67905378,2.96164060,1.71620965,1.76200986,1.99432874,2.76181626,2.46929574,2.63385940,2.14084268,2.11412835,2.84454751,2.73197770,-0.00000000,1.00000000,1.59823418,-1.92580688,0.31999511,0.01117318,0.44513291,5.00000000,-2.40000010,0.00000000,0.10000000,0.16089386,0.41518831,0.21508379,0.25977653,0.21508379,0.25977653,0.52513969,0.84797770,0.67469174,0.21046805,0.13330242,0.74303854,0.00000000,184.57031250,4.74596643
/Users/panmingh/Code/ML_Coursework/Data/MLEndHWII_sample_800/S101_whistle_1_NewYork.wav,NewYork,S101,whistle,1,-432.41137695,113.52922058,15.28600025,-6.52069807,7.52507544,31.91496277,30.30794907,11.01109886,-1.89171231,-1.76393437,0.86264825,1.24547589,2.18791413,26.97316933,10.25371456,17.56706619,12.48048592,17.28524208,18.31440544,18.74737549,22.21704483,22.23711205,17.78833199,18.23915672,20.16266060,22.91889572,0.07199851,0.07019279,-0.04449904,-0.01745625,0.03919622,0.00785821,-0.00969679,-0.03284554,-0.00666029,0.01422712,0.03088939,-0.00856547,-0.03232932,3.97761846,1.57369006,2.55718803,1.57474172,1.61161757,1.75455987,1.97637725,2.01111293,2.09364748,1.60580969,1.74106038,1.94371259,2.19129658,-0.00000000,1.00000000,1.65485179,-1.81660628,0.30801901,0.01147287,0.24839048,1.39999998,-2.70000005,0.00000000,0.10000000,0.10263566,0.22648484,0.25271317,0.18604651,0.25271317,0.18604651,0.56124032,0.79876161,0.72149658,0.42326659,0.36835811,1.88081634,0.06965987,32.29980469,2.40069675
/Users/panmingh/Code/ML_Coursework/Data/MLEndHWII_sample_800/S101_whistle_1_RememberMe.wav,RememberMe,S101,whistle,1,-420.76388550,113.08572388,-0.37485170,5.67814112,11.73079109,18.32393074,19.73151016,8.51192284,-0.37332729,3.18384695,6.13636255,4.07322741,-1.57929099,36.82143784,15.96003819,21.14956284,10.13241959,15.17397308,17.48659515,14.91276073,17.30961609,14.95206356,13.52196693,13.96815109,13.26379490,15.52763748,0.10430019,0.02592697,-0.06135441,-0.02717075,-0.01618372,0.01705365,0.03262568,-0.00789205,-0.04111371,-0.03420212,-0.00214235,0.02279892,0.01790985,4.46345139,2.10349917,2.50502253,1.35515761,1.38372886,1.64965332,1.65839732,1.67782295,1.43167543,1.34542608,1.40637541,1.48539495,1.68902743,0.00000000,1.00000000,1.58631682,-1.88280678,0.30260417,0.02638436,0.22248439,3.00000000,-2.29999995,0.00000000,0.00000000,0.07937025,0.20951325,0.20412596,0.14549403,0.20412596,0.14549403,0.65038002,0.81561822,0.69825947,0.35333031,0.27809364,1.67183673,0.06965987,73.82812500,2.85184526
