feature,count,missing,missing_pct,mean,std,min,25%,50%,75%,max,skewness,kurtosis
mfcc_mean_1,2252,0,0.00%,-413.9629,127.57467,-888.2674,-482.2794418334961,-400.2503967285156,-328.8887252807617,-74.006905,-0.5550229718894256,0.3639029092276469
mfcc_mean_2,2252,0,0.00%,83.55155,33.618034,-13.495596,59.08466339111328,87.19647979736328,109.05838966369629,167.93501,-0.3111735571433693,-0.4036195803678968
mfcc_mean_3,2252,0,0.00%,-2.687721,21.49626,-74.40134,-15.63903522491455,-0.5661265552043915,13.226322174072266,56.026676,-0.4898508345918936,0.039073608569458074
mfcc_mean_4,2252,0,0.00%,9.114285,16.86297,-39.036514,-2.120017409324646,8.671865463256836,20.064085006713867,74.20125,0.06814743340315868,0.10602101636993622
mfcc_mean_5,2252,0,0.00%,4.5653267,17.399044,-50.722294,-6.929657340049744,4.8922624588012695,15.575761795043945,70.15203,0.08859090830965961,0.3346268594583992
mfcc_mean_6,2252,0,0.00%,8.521747,13.779125,-30.700113,-0.8190382421016693,7.175209999084473,17.799433708190918,61.23241,0.3513349730664917,0.2636292975121548
mfcc_mean_7,2252,0,0.00%,0.9495981,12.987934,-45.337425,-7.041183829307556,0.9660371840000153,10.018845558166504,46.97024,-0.12180205476519354,0.41729349843588226
mfcc_mean_8,2252,0,0.00%,-3.8877196,12.111877,-53.2416,-12.047843933105469,-4.073979377746582,4.562025427818298,34.958908,-0.06315223952625061,0.17905402107535728
mfcc_mean_9,2252,0,0.00%,-7.89585,12.012313,-70.01952,-14.34020447731018,-7.453829765319824,-0.8975150883197784,35.98686,-0.4685713966123571,2.295524092743924
mfcc_mean_10,2252,0,0.00%,1.1857296,9.869212,-51.587112,-5.716058969497681,1.0110343098640442,7.544954538345337,43.05581,-0.015593937468452673,0.9599850228003439
mfcc_mean_11,2252,0,0.00%,-2.5623825,10.180554,-39.64584,-8.40961480140686,-3.125592589378357,3.8348599672317505,36.354862,-0.0819181795867156,0.3913611175674139
mfcc_mean_12,2252,0,0.00%,-2.7959223,9.153618,-30.808249,-8.488455533981323,-3.1460059881210327,2.7823235392570496,29.530298,0.08741557049814057,0.3166028980921243
mfcc_mean_13,2252,0,0.00%,-4.0537324,7.806916,-29.032679,-8.793358564376831,-4.345621347427368,0.661111131310463,25.829708,0.1202836339208602,0.4790609158421004
mfcc_std_1,2252,0,0.00%,71.830536,32.293102,8.98195,47.45096015930176,69.22721481323242,94.69463729858398,163.52274,0.27687082266856006,-0.6481317213386761
mfcc_std_2,2252,0,0.00%,34.068233,15.793993,5.358336,22.42693281173706,31.53603744506836,43.17573928833008,86.680824,0.7147957399523335,0.052043979905803006
