feature,variance,between_class_var,within_class_var,fisher_ratio,anova_F,anova_p,significant
f0n_mean,3.0925614e-32,1.6357213372754244e-32,3.0971059752098115e-32,inf,0.5281452657203195,0.8138206059887552,
f0n_std,0.0,0.0,0.0,inf,,,
interval_mean,0.00032653063,0.01790623564193345,0.0002716919845816245,65.90638170466113,65.90639252030726,1.2110953622303839e-86,***
interval_abs_mean,0.003910674,0.1569475965137217,0.0034332859104519143,45.71352360603813,45.713505653338984,7.854358116637615e-61,***
contour_down_ratio,0.005033655,0.1966712690418499,0.0044358547668200176,44.33672412202077,44.33674081427126,5.025804985375835e-59,***
interval_neg_ratio,0.005033655,0.1966712690418499,0.0044358547668200176,44.33672412202077,44.33674081427126,5.025804985375835e-59,***
f0n_min,0.53797597,20.212057376629623,0.4766040459248684,42.40848886921921,42.408500750291445,1.740576819417602e-56,***
contour_flat_ratio,0.011923976,0.41483903728773797,0.010667110974659708,38.88953984571926,38.88955170837486,8.033520708484645e-52,***
onsets_per_sec,0.8558689,28.180461515114303,0.7706317036494001,36.56800178562993,36.56800760152912,1.0066222325925712e-48,***
interval_iqr,0.0060177166,0.1904966116115351,0.005442247994338725,35.003294926967385,35.00328530671116,1.2592703289175908e-46,***
tempo,4640.129,137838.76221426457,4224.624931131455,32.62745556381216,32.6274575942986,1.988307267883375e-43,***
voiced_prob_mean,0.027607799,0.7876833662033361,0.025236795578357795,31.211702918369962,31.211717191115564,1.6301006000286085e-41,***
interval_std,0.020042997,0.5047550142007223,0.0185309707929186,27.23845500817522,27.238457219984017,4.1030787355233804e-36,***
contour_up_ratio,0.0040519126,0.10142509580764195,0.0037481639382334793,27.05994120829301,27.059910509215122,7.191325233211567e-36,***
interval_pos_ratio,0.0040519126,0.10142509580764195,0.0037481639382334793,27.05994120829301,27.059910509215122,7.191325233211567e-36,***
voiced_ratio,0.017856756,0.4350972321474091,0.01655520255836773,26.281601243682264,26.28161833947504,8.318803313982634e-35,***
ioi_max,1.1290941,26.356613896280123,1.0503986482898606,25.09201048496298,25.092015583451676,3.533084679500209e-33,***
interval_abs_std,0.016873179,0.36710533867635675,0.01578065416063456,23.26299879203455,23.262993766368368,1.1426570276619401e-30,***
ioi_std,0.071199104,1.4647336258530181,0.06685207394962722,21.91007008932422,21.910069532660494,8.300438412992553e-29,***
mfcc_delta_std_8,0.24256131,4.352797936708238,0.22973970746133418,18.94665047155954,18.946662629787674,1.017727071178573e-24,***
mfcc_delta_std_1,19.559656,294.332709536724,18.702521385781054,15.737595133054947,15.737582624915657,2.801635084034783e-20,***
mfcc_delta_std_9,0.36390212,5.166786991265975,0.34891986939890074,14.807947166113014,14.80794851400834,5.424610239183371e-19,***
ioi_mean,0.06555554,0.750357496598115,0.06341935207680492,11.831680268341179,11.831677084282333,7.068343820991463e-15,***
interval_max,1.0979819,12.193733550681015,1.0633695305137498,11.467070666196172,11.467057845127595,2.2499015175195953e-14,***
mfcc_delta_std_3,2.3475852,25.653231762063733,2.274884780566748,11.276716949010789,11.27671605680726,4.116113431381787e-14,***
mfcc_delta_std_13,0.15545946,1.5836863291521988,0.15100420929438396,10.487696578476095,10.487694419672502,5.01611600512923e-13,***
mfcc_delta_std_10,0.21706237,2.05535574878648,0.21132793321993049,9.725906639362515,9.725916138572417,5.570233373824036e-12,***
mfcc_delta_std_12,0.14895736,1.354213048297051,0.14519764311983518,9.326687535688066,9.326695535199681,1.9605409770483925e-11,***
mfcc_std_1,1042.8444,8565.9419292927,1019.3765447823971,8.403118526845487,8.403121987660546,3.564403208765871e-10,***
mfcc_delta_std_11,0.17799322,1.4571033729581342,0.17400313359676942,8.37400650688734,8.374008443848792,3.9045387588025193e-10,***
mfcc_delta_std_5,0.5796293,4.707182678878553,0.5667536957936491,8.305517394618638,8.305513681749954,4.8379605546171e-10,***
mfcc_delta_std_7,0.2714171,2.1804862833141345,0.26546189137161735,8.213933352345833,8.213942125927897,6.442355143966437e-10,***
mfcc_mean_9,144.29565,1135.5095472133512,141.2036380257836,8.041645123945099,8.041643704765598,1.1036707748820676e-09,***
mfcc_delta_std_2,4.429944,30.95592082886638,4.3471980179907375,7.120890445007637,7.12088665119461,1.9326928310226672e-08,***
f0n_median,0.08301775,0.5435264631046888,0.08158123010434144,6.662396024300256,6.662393739706349,7.95652016258067e-08,***
mfcc_mean_8,146.69757,940.5030851956353,144.22135093335373,6.5212472294081625,6.521247915150847,1.227974600912553e-07,***
mfcc_std_7,15.7178335,95.97213552780158,15.467485231086744,6.204766585774111,6.204775497325188,3.2387644427346546e-07,***
mfcc_mean_7,168.68643,1027.5129308451628,166.00738891900755,6.189561425765636,6.189561317004763,3.3929444198640256e-07,***
f0n_max,2.5843136,15.57414731232285,2.543792726096835,6.122412078840887,6.122410973187207,4.1654563415305276e-07,***
interval_median,2.6583804e-05,0.00015824969070684993,2.6173081227520947e-05,6.046276681419178,6.04627540397831,5.254733451052635e-07,***
mfcc_delta_std_4,0.7092934,3.8063799759550614,0.6996322548591304,5.44054387075317,5.440547088930516,3.2982542288122023e-06,***
interval_min,1.164901,5.832003119406279,1.15034232303208,5.069797922442987,5.069799529087158,1.003678570114143e-05,***
mfcc_delta_mean_5,0.0003371547,0.0016706931060157869,0.0003329948140324862,5.017174549309341,5.01717501791972,1.1744838172322914e-05,***
